Serial,City,Datetime,NO2,CO,SO2,O3,PM10
1,Delhi,11/11/17 22:00,19.73,0.69,18.87,31.98,81.05
2,Delhi,11/11/17 23:00,19.62,0.76,25.01,35.21,114.26
3,Delhi,12/11/17 0:00,18.21,0.76,24.73,46.22,142.74
4,Delhi,12/11/17 1:00,16.41,0.73,21.17,61.11,128.97
5,Delhi,12/11/17 2:00,14.51,0.65,17.87,68.68,105.41
6,Delhi,12/11/17 3:00,13.68,0.62,15.72,71.2,89.28
7,Delhi,12/11/17 4:00,13.32,0.57,14.29,71.16,82.04
8,Delhi,12/11/17 5:00,12.97,0.52,12.91,69.93,83.65
9,Delhi,12/11/17 6:00,12.8,0.54,12.01,69.62,81
10,Delhi,12/11/17 7:00,13.09,0.55,10.97,67.97,80.42
11,Delhi,12/11/17 8:00,12.78,0.6,10.85,65.45,76.69
12,Delhi,12/11/17 9:00,14.17,0.56,10.74,64.38,69.34
13,Delhi,12/11/17 10:00,15.7,0.59,11.48,59.62,74.26
14,Delhi,12/11/17 11:00,22.06,0.78,12.71,43.86,90.04
15,Delhi,12/11/17 12:00,27.07,0.91,13.68,33.17,117.52
16,Delhi,12/11/17 13:00,30.33,0.94,15.51,25.8,130.84
17,Delhi,12/11/17 14:00,30.65,0.87,17.29,24.2,135.96
18,Delhi,12/11/17 15:00,28.21,0.84,19.17,24.98,136.98
19,Delhi,12/11/17 16:00,25.19,0.83,19.51,21.95,137.14
